,question_id,semantic_str,image_id,answer,op_select,op_query,op_filter,op_relate,op_verify,op_choose,op_exist,op_or,op_different,op_and,op_same,op_common,skipped,model_response,correct,timeout,runtime_sec,answer_similarity,answer_sanitized,is_antonym
40,201573918,"select: street light (13)->relate: crosswalk,near,s (6) [0]->query: material [1]",n115614,concrete,1,1,0,1,0,0,0,0,0,0,0,0,False,aluminum,False,False,0.8639035224914551,0.5217465758323669,concrete,False
41,201974972,select: clothing (4)->filter color: pink [0]->query: name [1],n274905,tank top,1,1,1,0,0,0,0,0,0,0,0,0,False,tank_top,True,False,0.3705635070800781,0.9999999403953552,tank_top,False
42,201974971,select: clothing (4)->filter color: pink [0]->query: name [1],n274905,tank top,1,1,1,0,0,0,0,0,0,0,0,0,False,tank_top,True,False,0.3711819648742676,0.9999999403953552,tank_top,False
43,201974976,select: clothing (6)->filter color: not(pink) [0]->query: name [1],n274905,hat,1,1,1,0,0,0,0,0,0,0,0,0,False,pants,False,False,0.3702816963195801,0.35491883754730225,hat,False
44,201996743,select: helicopter (22)->choose: off|on [0],n250715,off,1,0,0,0,0,1,0,0,0,0,0,0,False,on,False,False,0.3328361511230469,0.5961568355560303,off,True
47,201974979,select: clothing (4)->filter: sleeveless [0]->query: name [1],n274905,tank top,1,1,1,0,0,0,0,0,0,0,0,0,False,tank_top,True,False,0.347247838973999,0.9999999403953552,tank_top,False
49,20442334,"select: microwave (5)->relate: fruit,beneath,s (7) [0]->query: name [1]",n207708,bananas,1,1,0,1,0,0,0,0,0,0,0,0,False,banana,True,False,0.8413166999816895,1.0,banana,False
50,201765651,select: shirt (1)->query: color [0],n488874,white,1,1,0,0,0,0,0,0,0,0,0,0,False,blue,False,False,0.35473108291625977,0.6442303657531738,white,False
51,20442331,"select: microwave (5)->relate: _,beneath,s (7) [0]->query: name [1]",n207708,bananas,1,1,0,1,0,0,0,0,0,0,0,0,False,toaster_oven,False,False,2.9077322483062744,0.31050825119018555,banana,False
52,20508243,select: chair (17)->query: hposition [0],n511913,right,1,1,0,0,0,0,0,0,0,0,0,0,False,right,True,False,0.32561731338500977,1.0,right,False
53,2046473,"select: woman (4)->filter vposition: middle [0]->choose rel: man,to the right of|to the left of,s (2) [1]",n71728,right,1,0,1,0,0,1,0,0,0,0,0,0,False,to_the_left_of,False,False,0.7810544967651367,0.2835211753845215,right,False
54,20618932,"select: wristband (5)->relate: person,wearing,s (6) [0]->query: name [1]",n126087,woman,1,1,0,1,0,0,0,0,0,0,0,0,False,man,False,False,0.8378653526306152,0.35008004307746887,woman,True
56,202005788,select: this (10)->choose name: cabinet|bed [0],n97485,cabinet,1,0,0,0,0,1,0,0,0,0,0,0,False,UNSAT,False,False,0.3240523338317871,0.0,cabinet,False
57,201902515,select: router (12)->query: hposition [0],n435808,left,1,1,0,0,0,0,0,0,0,0,0,0,False,left,True,False,0.33392834663391113,0.9999998807907104,left,False
58,201303404,select: pants (4)->query: color [0],n518912,gray,1,1,0,0,0,0,0,0,0,0,0,0,False,dark,False,False,0.3599560260772705,0.48057931661605835,gray,False
59,20942157,"select: shirt (2)->relate: person,wearing,s (0) [0]->query: name [1]",n137182,girl,1,1,0,1,0,0,0,0,0,0,0,0,False,photographer,False,False,0.8061590194702148,0.3674987554550171,girl,False
60,20942156,"select: shirt (2)->relate: person,wearing,s (0) [0]->query: name [1]",n137182,girl,1,1,0,1,0,0,0,0,0,0,0,0,False,photographer,False,False,0.7976963520050049,0.3674987554550171,girl,False
61,20898685,select: man (3)->query: pose [0],n243701,standing,1,1,0,0,0,0,0,0,0,0,0,0,False,walking,False,False,0.35248327255249023,0.3647445738315582,standing,False
63,201621328,"select: picture frame (11)->relate: _,hanging from,o (8) [0]->query: name [1]",n275148,wall,1,1,0,1,0,0,0,0,0,0,0,0,False,picture_frame,False,False,2.770906686782837,0.32814061641693115,wall,False
64,2076819,select: cars (8)->choose: dense|sparse [0],n214497,dense,1,0,0,0,0,1,0,0,0,0,0,0,False,sparse,False,False,0.3409109115600586,0.5486224293708801,dense,False
65,202244099,select: food (0)->filter: not(baked) [0]->query: name [1],n296467,cookies,1,1,1,0,0,0,0,0,0,0,0,0,False,rice,False,False,0.38044071197509766,0.31463146209716797,cookie,False
66,201951771,"select: flag (17)->relate: vehicle,in front of,s (16) [0]->query: name [1]",n256120,van,1,1,0,1,0,0,0,0,0,0,0,0,False,van,True,False,0.8517153263092041,0.9999999403953552,van,False
67,201951770,"select: flag (17)->relate: vehicle,in front of,s (16) [0]->query: name [1]",n256120,van,1,1,0,1,0,0,0,0,0,0,0,0,False,van,True,False,0.8485345840454102,0.9999999403953552,van,False
68,201621326,"select: wall (8)->relate: _,hanging from,s (11) [0]->query: name [1]",n275148,picture frame,1,1,0,1,0,0,0,0,0,0,0,0,False,picture_frame,True,False,2.410865068435669,1.000000238418579,picture_frame,False
69,201233862,"select: skateboarder (0)->relate: _,jumping off,o (4) [0]->query: name [1]",n130464,pavement,1,1,0,1,0,0,0,0,0,0,0,0,False,UNSAT,False,False,2.102534294128418,0.0,pavement,False
71,20489632,select: bench (7)->query: color [0],n145498,beige,1,1,0,0,0,0,0,0,0,0,0,0,False,cream_colored,False,False,0.3471710681915283,0.5607467293739319,beige,False
73,202023424,select: furniture (5)->filter: plaid [0]->query: name [1],n95313,bed,1,1,1,0,0,0,0,0,0,0,0,0,False,bar_stool,False,False,0.34780168533325195,0.31867796182632446,bed,False
76,20746468,select: river (2)->choose width: narrow|wide [0],n477215,narrow,1,0,0,0,0,1,0,0,0,0,0,0,False,wide,False,False,0.33870410919189453,0.729511559009552,narrow,True
77,201428996,"select: refrigerator (0)->relate: appliance,bigger than,o (2) [0]->query: name [1]",n64959,stove,1,1,0,1,0,0,0,0,0,0,0,0,False,gas_stove,False,False,0.7591478824615479,0.777809739112854,stove,False
79,202244009,"select: beans (1)->relate: bowl,to the right of,s (7) [0]->relate: _,inside,s (0) [1]->query: name [2]",n296467,cookies,1,1,0,2,0,0,0,0,0,0,0,0,False,box,False,False,4.83700704574585,0.34655943512916565,cookie,False
80,20287556,"select: catcher (0)->relate: face mask,wearing,o (15) [0]->query: cleanliness [1]",n317260,clean,1,1,0,1,0,0,0,0,0,0,0,0,False,dirty,False,False,0.8511011600494385,0.653197169303894,clean,True
81,20631973,"select: catcher (6)->relate: place,standing on,o (16) [0]->query: name [1]",n570181,field,1,1,0,1,0,0,0,0,0,0,0,0,False,stadium,False,False,0.8173034191131592,0.5411958694458008,field,False
82,20287551,select: glove (12)->query: color [0],n317260,black,1,1,0,0,0,0,0,0,0,0,0,0,False,dark_blue,False,False,0.36024975776672363,0.45241981744766235,black,False
84,201663656,select: drawers (7)->query: color [0],n35676,light brown,1,1,0,0,0,0,0,0,0,0,0,0,False,dark_brown,False,False,0.3604867458343506,0.9232584834098816,light_brown,False
86,201065067,select: clothing (6)->filter: bright [0]->query: name [1],n88933,gown,1,1,1,0,0,0,0,0,0,0,0,0,False,dress,False,False,0.35028958320617676,0.6360728740692139,gown,False
88,20462076,"select: woman (7)->relate: _,wearing,o (5) [0]->query: name [1]",n571179,gloves,1,1,0,1,0,0,0,0,0,0,0,0,False,coat,False,False,3.037368059158325,0.5299689173698425,glove,False
89,20462075,"select: man (6)->relate: person,near,s (7) [0]->filter pose: standing [1]->relate: _,wearing,o (5) [2]->query: name [3]",n571179,gloves,1,1,1,2,0,0,0,0,0,0,0,0,False,coat,False,False,8.074552059173584,0.5299689173698425,glove,False
90,201065062,select: clothing (6)->filter color: pink [0]->query: name [1],n88933,gown,1,1,1,0,0,0,0,0,0,0,0,0,False,dress,False,False,0.38177990913391113,0.6360728740692139,gown,False
91,20754631,"select: person (0)->filter pose: sitting [0]->relate: _,sitting atop,o (8) [1]->query: name [2]",n566028,stairs,1,1,1,1,0,0,0,0,0,0,0,0,False,hat,False,False,4.585578441619873,0.09217491000890732,stair,False
92,201935960,"select: floor (9)->relate: _,standing on,s (2) [0]->query: name [1]",n500209,shelf,1,1,0,1,0,0,0,0,0,0,0,0,False,picture_frame,False,False,2.3401873111724854,0.27618682384490967,shelf,False
93,20412222,"select: boy (0)->relate: furniture,to the left of,s (7) [0]->query: name [1]",n531359,tables,1,1,0,1,0,0,0,0,0,0,0,0,False,dining_table,False,False,0.7298583984375,0.7102208137512207,table,False
94,201935966,"select: wall (10)->filter: not(short) [0]->relate: _,in front of,s (2) [1]->query: name [2]",n500209,shelf,1,1,1,1,0,0,0,0,0,0,0,0,False,bowl,False,False,2.3362269401550293,0.26291409134864807,shelf,False
95,20878946,select: parking lot (11)->filter material: concrete [0]->query: width [1],n259949,wide,1,1,1,0,0,0,0,0,0,0,0,0,False,narrow,False,False,0.3369121551513672,0.729511559009552,wide,True
96,201947446,select: mirror (10)->filter cleanliness: clean [0]->query: hposition [1],n473688,left,1,1,1,0,0,0,0,0,0,0,0,0,False,left,True,False,0.3414938449859619,0.9999998807907104,left,False
97,201498767,"select: computer (16)->filter: flat [0]->relate: device,in front of,s (6) [1]->query: name [2]",n315887,phone,1,1,1,1,0,0,0,0,0,0,0,0,False,keyboard,False,False,0.8010904788970947,0.39797163009643555,phone,False
98,20306764,"select: floor (10)->relate: _,sitting on,s (5) [0]->query: name [1]",n554880,gift,1,1,0,1,0,0,0,0,0,0,0,0,False,skier,False,False,2.3524210453033447,0.18247297406196594,gift,False
101,201996815,select: glasses (0)->filter shape: round [0]->choose material: glass|wire [1],n250715,glass,1,0,1,0,0,1,0,0,0,0,0,0,False,wire,False,False,0.33376336097717285,0.28787150979042053,glass,False
102,201996813,select: glasses (0)->query: material [0],n250715,glass,1,1,0,0,0,0,0,0,0,0,0,0,False,stainless_steel,False,False,0.33213257789611816,0.3388790190219879,glass,False
103,202060122,"select: couch (13)->relate: animal,behind,o (10) [0]->query: name [1]",n14087,dog,1,1,0,1,0,0,0,0,0,0,0,0,False,dog,True,False,0.7810161113739014,1.000000238418579,dog,False
104,201067797,select: device (4)->filter hposition: left [0]->query: color [1],n367944,black,1,1,1,0,0,0,0,0,0,0,0,0,False,cream_colored,False,False,0.37005043029785156,0.5193511247634888,black,False
106,201497916,"select: keyboard (7)->relate: device,above,s (12) [0]->query: name [1]",n315887,monitor,1,1,0,1,0,0,0,0,0,0,0,0,False,speaker,False,False,0.7051169872283936,0.373479425907135,monitor,False
107,20303081,"select: glasses (2)->relate: man,to the left of,s (8) [0]->query: activity [1]",n318684,resting,1,1,0,1,0,0,0,0,0,0,0,0,False,resting,True,False,0.7139384746551514,1.000000238418579,resting,False
108,201498727,select: phone (6)->query: material [0],n315887,plastic,1,1,0,0,0,0,0,0,0,0,0,0,False,paper,False,False,0.337099552154541,0.4993079602718353,plastic,False
110,20300425,"select: traffic light (0)->relate: vehicle,waiting for,s (2) [0]->query: name [1]",n208302,cars,1,1,0,1,0,0,0,0,0,0,0,0,False,truck,False,False,0.8901054859161377,0.6431450247764587,car,False
111,20300424,"select: traffic light (0)->relate: vehicle,waiting for,s (2) [0]->query: name [1]",n208302,cars,1,1,0,1,0,0,0,0,0,0,0,0,False,truck,False,False,0.889747142791748,0.6431450247764587,car,False
112,20899558,"select: notebook (16)->relate: device,to the left of,s (2) [0]->filter: electronic [1]->query: color [2]",n403734,blue,1,1,1,1,0,0,0,0,0,0,0,0,False,teal,False,False,0.9719502925872803,0.48347973823547363,blue,False
113,20300420,"select: sidewalk (3)->relate: road,near,s (7) [0]->relate: vehicle,above,s (2) [1]->query: name [2]",n208302,cars,1,1,0,2,0,0,0,0,0,0,0,0,False,truck,False,False,1.1629393100738525,0.6431450247764587,car,False
114,20300423,"select: traffic light (0)->relate: _,waiting for,s (2) [0]->query: name [1]",n208302,cars,1,1,0,1,0,0,0,0,0,0,0,0,False,truck,False,False,3.6749424934387207,0.6431450247764587,car,False
115,20836565,"select: table (7)->filter color: yellow [0]->filter color: black [1]->relate: _,sitting in front of,s (3) [2]->query: name [3]",n507959,luggage,1,1,2,1,0,0,0,0,0,0,0,0,False,skirt,False,False,4.079218864440918,0.2515382170677185,luggage,False
118,20300428,"select: vehicle (2)->filter: parked [0]->relate: _,waiting for,o (0) [1]->query: name [2]",n208302,traffic light,1,1,1,1,0,0,0,0,0,0,0,0,False,manhole_cover,False,False,2.881687641143799,0.4400312900543213,traffic_light,False
120,201947591,"select: soap dispenser (18)->filter material: chrome [0]->relate: _,sitting on,o (19) [1]->query: name [2]",n473688,countertop,1,1,1,1,0,0,0,0,0,0,0,0,False,UNSAT,False,False,2.308039665222168,0.0,countertop,False
121,20177575,select: serving tray (12)->filter shape: rectangular [0]->query: color [1],n55058,white,1,1,1,0,0,0,0,0,0,0,0,0,False,orange,False,False,0.35364675521850586,0.5801511406898499,white,False
123,201982068,select: pants (11)->choose material: cloth|leather [0],n526228,cloth,1,0,0,0,0,1,0,0,0,0,0,0,False,leather,False,False,0.3483130931854248,0.6328474283218384,cloth,False
124,201370428,select: pens (5)->choose: black and white|colorful [0],n351318,black and white,1,0,0,0,0,1,0,0,0,0,0,0,False,black_and_white,True,False,0.34198784828186035,1.0000001192092896,black_and_white,False
125,201878325,"select: jacket (17)->relate: person,worn around,o (5) [0]->query: name [1]",n342511,man,1,1,0,1,0,0,0,0,0,0,0,0,False,person,False,False,0.7548549175262451,0.26461827754974365,man,False
126,201370422,select: pens (5)->query: hposition [0],n351318,right,1,1,0,0,0,0,0,0,0,0,0,0,False,right,True,False,0.3286263942718506,1.0,right,False
128,201896034,"select: cake (0)->relate: lady,looking down at,s (4) [0]->relate: furniture,to the right of,s (11) [1]->query: name [2]",n111390,table,1,1,0,2,0,0,0,0,0,0,0,0,False,dining_table,False,False,1.4912216663360596,0.7102208137512207,table,False
129,201065497,"select: performer (15)->relate: man,to the left of,s (0) [0]->choose color: blond|brunette [1]",n429883,blond,1,0,0,1,0,1,0,0,0,0,0,0,False,brunette,False,False,0.8676214218139648,0.8111715316772461,blond,False
133,20258752,"select: jeans (5)->relate: person,wearing,s (10) [0]->query: name [1]",n204894,child,1,1,0,1,0,0,0,0,0,0,0,0,False,boy,False,False,0.808631420135498,0.5259345173835754,child,False
135,201885557,select: swimsuit (6)->query: gender [0],n222297,male,1,1,0,0,0,0,0,0,0,0,0,0,False,male,True,False,0.3415663242340088,1.0000001192092896,male,False
137,20117834,"select: field (10)->relate: trees,on,s (11) [0]->choose: lush|bare [1]",n494677,lush,1,0,0,1,0,1,0,0,0,0,0,0,False,bare,False,False,0.8212771415710449,0.2868879437446594,lush,False
140,201756501,"select: door (5)->select: kitten (1) ->common:  [0, 1]",n567860,color,2,0,0,0,0,0,0,0,0,0,0,1,False,color,True,True,10.826781749725342,1.0,color,False
141,20716925,select: jacket (3)->filter material: cotton [0]->choose size: small|large [1],n67005,small,1,0,1,0,0,1,0,0,0,0,0,0,False,UNSAT,False,False,0.33362889289855957,0.0,small,False
142,20541270,"select: couch (5)->choose rel: chair,to the right of|to the left of,s (0) [0]",n527290,right,1,0,0,0,0,1,0,0,0,0,0,0,False,to_the_right_of,True,False,0.8297243118286133,0.9999999403953552,to_the_right_of,False
143,201056079,"select: ball (0)->relate: soccer player,to the left of,s (4) [0]->choose gender: male|female [1]",n259002,male,1,0,0,1,0,1,0,0,0,0,0,0,False,male,True,False,0.8041834831237793,1.0000001192092896,male,False
145,2017235,select: hair (1)->query: color [0],n324908,black,1,1,0,0,0,0,0,0,0,0,0,0,False,white,False,False,0.34097790718078613,0.7710274457931519,black,True
146,20427913,"select: picture (8)->relate: _,hanging above,o (9) [0]->query: name [1]",n281241,chair,1,1,0,1,0,0,0,0,0,0,0,0,False,picture_frame,False,False,2.382955551147461,0.2630569040775299,chair,False
147,20427912,"select: picture (8)->filter: framed [0]->relate: _,hanging above,o (9) [1]->query: name [2]",n281241,chair,1,1,1,1,0,0,0,0,0,0,0,0,False,picture_frame,False,False,2.4485480785369873,0.2630569040775299,chair,False
149,201056072,select: person (4)->filter pose: running [0]->query: name [1],n259002,soccer player,1,1,1,0,0,0,0,0,0,0,0,0,False,man,False,False,0.3654329776763916,0.15367524325847626,soccer_player,False
150,20887449,select: device (6)->filter size: large [0]->query: name [1],n282436,keyboard,1,1,1,0,0,0,0,0,0,0,0,0,False,keyboard,True,False,0.3527984619140625,1.000000238418579,keyboard,False
151,20648218,"select: helmet (7)->relate: person,wearing,s (6) [0]->query: name [1]",n471866,policeman,1,1,0,1,0,0,0,0,0,0,0,0,False,officer,False,False,0.8586390018463135,0.8190869092941284,policeman,False
152,202102931,"select: microwave (5)->relate: _,beneath,s (8) [0]->query: name [1]",n386682,dishwasher,1,1,0,1,0,0,0,0,0,0,0,0,False,microwave,False,False,2.8606882095336914,0.4190022647380829,dishwasher,False
153,201047479,select: dress shirt (5)->choose color: teal|gray [0],n234683,teal,1,0,0,0,0,1,0,0,0,0,0,0,False,teal,True,False,0.36840224266052246,1.0,teal,False
154,201370398,select: scissors (2)->query: color [0],n351318,gray,1,1,0,0,0,0,0,0,0,0,0,0,False,orange,False,False,0.3561081886291504,0.6227904558181763,gray,False
155,20672944,select: toilet brush (31)->query: hposition [0],n59147,left,1,1,0,0,0,0,0,0,0,0,0,0,False,left,True,False,0.32967448234558105,0.9999998807907104,left,False
156,201752690,"select: boy (12)->relate: _,on,o (1) [0]->query: name [1]",n262929,bike,1,1,0,1,0,0,0,0,0,0,0,0,False,bike,True,False,2.555677652359009,1.0000001192092896,bike,False
159,20699276,select: clothing (8)->filter: navy [0]->query: name [1],n512257,jacket,1,1,1,0,0,0,0,0,0,0,0,0,False,blazer,False,False,0.35169053077697754,0.4491320848464966,jacket,False
160,2097681,"select: poster (6)->relate: _,in front of,s (1) [0]->query: name [1]",n513429,monitor,1,1,0,1,0,0,0,0,0,0,0,0,False,speaker,False,False,3.2077748775482178,0.373479425907135,monitor,False
162,201110526,"select: baby (6)->relate: food,to the left of,s (0) [0]->query: name [1]",n546616,marshmallow,1,1,0,1,0,0,0,0,0,0,0,0,False,cake,False,False,0.9068949222564697,0.2830146551132202,marshmallow,False
163,20673099,"select: toilet (13)->relate: toilet paper,to the right of,s (26) [0]->relate: furniture,resting on,o (25) [1]->query: name [2]",n59147,chair,1,1,0,2,0,0,0,0,0,0,0,0,False,chair,True,False,1.4016673564910889,1.000000238418579,chair,False
164,20673098,"select: toilet (24)->relate: toilet paper,to the right of,s (26) [0]->relate: _,resting on,o (25) [1]->query: name [2]",n59147,chair,1,1,0,2,0,0,0,0,0,0,0,0,False,paper_towel,False,False,4.194691181182861,0.3033379912376404,chair,False
166,201480696,select: bench (8)->query: shape [0],n39114,rectangular,1,1,0,0,0,0,0,0,0,0,0,0,False,rectangular,True,False,0.3438706398010254,1.0000001192092896,rectangular,False
167,201879167,"select: crowd (6)->relate: person,below,s (4) [0]->relate: _,bigger than,o (0) [1]->query: name [2]",n496803,sneakers,1,1,0,2,0,0,0,0,0,0,0,0,False,gas_stove,False,False,5.831990718841553,0.2084457278251648,sneaker,False
171,20361243,select: person (2)->filter pose: standing [0]->query: name [1],n352479,snowboarder,1,1,1,0,0,0,0,0,0,0,0,0,False,girl,False,False,0.36847925186157227,0.2812540829181671,snowboarder,False
172,20667494,select: furniture (1)->filter material: wood [0]->query: name [1],n181355,coffee table,1,1,1,0,0,0,0,0,0,0,0,0,False,couch,False,False,0.3592092990875244,0.4551016390323639,coffee_table,False
173,20667492,select: furniture (1)->filter material: wood [0]->query: name [1],n181355,coffee table,1,1,1,0,0,0,0,0,0,0,0,0,False,couch,False,False,0.3608107566833496,0.4551016390323639,coffee_table,False
174,20667493,select: furniture (1)->filter material: wood [0]->query: name [1],n181355,coffee table,1,1,1,0,0,0,0,0,0,0,0,0,False,couch,False,False,0.3593785762786865,0.4551016390323639,coffee_table,False
175,201056254,select: person (8)->filter activity: looking up [0]->query: name [1],n259002,spectator,1,1,1,0,0,0,0,0,0,0,0,0,False,man,False,False,0.36522960662841797,0.14858201146125793,spectator,False
176,201064816,select: furniture (0)->filter color: blue [0]->query: name [1],n88933,sofa,1,1,1,0,0,0,0,0,0,0,0,0,False,bed,False,False,0.372605562210083,0.5423150062561035,sofa,False
177,2097684,"select: monitor (1)->relate: _,in front of,o (6) [0]->query: name [1]",n513429,poster,1,1,0,1,0,0,0,0,0,0,0,0,False,computer_monitor,False,False,2.9907870292663574,0.29896116256713867,poster,False
178,201064812,select: furniture (0)->choose name: sofa|cabinet [0],n88933,sofa,1,0,0,0,0,1,0,0,0,0,0,0,False,cabinet,False,False,0.3371260166168213,0.3537195324897766,sofa,False
179,201056252,select: spectator (8)->query: activity [0],n259002,looking up,1,1,0,0,0,0,0,0,0,0,0,0,False,playing,False,False,0.3548777103424072,0.3358640670776367,looking_up,False
180,201064810,select: furniture (0)->query: name [0],n88933,sofa,1,1,0,0,0,0,0,0,0,0,0,0,False,bed,False,False,0.3367190361022949,0.5423150062561035,sofa,False
181,201935799,"select: container (11)->filter material: glass [0]->relate: _,sitting on top of,o (2) [1]->query: name [2]",n500209,shelf,1,1,1,1,0,0,0,0,0,0,0,0,False,picture_frame,False,False,2.8351478576660156,0.27618682384490967,shelf,False
182,20756897,select: clothing (4)->filter state: smooth [0]->query: name [1],n433532,robe,1,1,1,0,0,0,0,0,0,0,0,0,False,sweater,False,False,0.35547685623168945,0.5607680082321167,robe,False
183,201065430,select: chairs (13)->query: hposition [0],n429883,right,1,1,0,0,0,0,0,0,0,0,0,0,False,right,True,False,0.32875514030456543,1.0,right,False
184,202243368,"select: woman (11)->relate: shirt,wearing,o (10) [0]->query: color [1]",n557666,white,1,1,0,1,0,0,0,0,0,0,0,0,False,brunette,False,False,0.9610302448272705,0.5581310987472534,white,False
186,201935797,"select: shelf (2)->relate: _,sitting on top of,s (11) [0]->query: name [1]",n500209,jar,1,1,0,1,0,0,0,0,0,0,0,0,False,bowl,False,False,2.4711344242095947,0.3147551417350769,jar,False
188,20741279,select: person (7)->query: height [0],n23762,tall,1,1,0,0,0,0,0,0,0,0,0,0,False,tall,True,False,0.3563249111175537,0.9999999403953552,tall,False
189,201143145,select: floor (11)->filter material: wood [0]->query: color [1],n276011,dark brown,1,1,1,0,0,0,0,0,0,0,0,0,False,yellow,False,False,0.3784632682800293,0.37007200717926025,dark_brown,False
192,202119900,"select: wall (10)->relate: appliance,in front of,s (0) [0]->query: name [1]",n500308,refrigerator,1,1,0,1,0,0,0,0,0,0,0,0,False,refrigerator,True,False,0.786698579788208,0.9999998807907104,refrigerator,False
